Quality	#1 ID	#2 ID	#1 String	#2 String
1	40733004	91302008	infectious disease	sepsis
0	44870007	228381000	misused drugs in past	sniffs drugs
1	125587004	49897003	superficial injury	superficial injury with infection
0	36198007	52923004	victim of vehicular and/or traffic accident	steward in aircraft accident
0	360631004	124331002	deficiency of choline esterase ii (unspecific)	deficiency of pyruvate kinase
1	302849000	4135001	nephroblastoma	11p partial monosomy syndrome
1	12243431000119101	771539006	abscess following procedure	abscess at puncture site due to and following peripheral nerve block
0	241909007	212658003	shoe care product causing toxic effect	spiperone poisoning
0	292038009	292250005	adverse reaction caused by over the counter drug	vinca alkaloid adverse reaction
0	298343000	417386009	finding related to falls	lesioned component
0	231944006	267637004	labrador keratopathy	corneal pigmentations and deposits
0	72566003	290212006	poisoning caused by liver preparation and/or other antianemic agent	meptazinol poisoning
1	22006008	773557002	hypertelorism	mandibulofacial dysostosis, macroblepharon, macrostomia syndrome
0	402693001	276853009	lipomatosis	self inflicted injury
0	1082641000119102	294731007	allergy to existing dental restorative material	allergy to glibenclamide
0	230662008	201191004	ross syndrome	miliaria alba
0	365719006	301119002	finding of fecal starch	finding absent in electrocardiogram
1	121000119106	18822004	lesion of skin of face	centrofacial lentiginosis syndrome
0	308339002	281333005	doctor patient status	no contact number given
1	204739008	721608001	hirschsprung's disease	hirschsprung disease of rectosigmoid region
0	414878005	247306001	normal serum test findings	inconsistent results on voice testing
0	243875009	308501009	menopause monitoring status	asthma monitoring status
1	404223003	234044007	deep venous thrombosis of lower extremity	iliofemoral deep vein thrombosis
1	249392003	300277007	tonsil finding	tonsil absent
0	296721002	296735000	cefixime overdose	intentional ceftriaxone overdose
1	24813008	90325002	gastrointestinal complication	vomiting of pregnancy
0	23506009	165794004	normal flora	rubella antibody low - not immune
1	11164009	702411003	autosomal dominant hereditary disorder	pleuropulmonary blastoma family tumor susceptibility syndrome
0	365415001	164916001	finding of electrocardiogram qrs complex	electrocardiogram: q wave normal
1	128294001	123598000	chronic inflammatory disorder	polyserositis
1	47583008	21998000	congenital anomaly of the pelvis	robert's pelvis
1	111476001	54319003	mental disorder usually first evident in infancy, childhood and/or adolescence	disruptive behavior disorder
0	719790009	250262007	nucleic acid amplification not detected	acidified serum test positive
1	370157003	698662000	main spoken language	main spoken language galician
1	11282001	360373000	homocystinuria	homocystinuria vitamin b12-responsive type iii
1	282755003	283689003	injury of forehead	human bite of forehead
1	8260003	84325005	organophosphate poisoning	tetrachlorvinphos poisoning
0	95462004	726354002	anomaly of sex chromosome	partial trisomy of chromosome 15
0	422376000	702989004	abnormal respiratory laboratory results	shigella boydii or shigella flexneri
0	310301000	281266006	advance healthcare directive status	no sample received
0	294243007	294411009	allergy to flavoxate	allergy to bismuth subnitrate and iodoform paste impregnated gauze
0	288441000119106	160971008	inadequate social skills	skier
0	64031009	276249004	masochistic behavior	withdrawn behavior
